Time,Signal,Inhibition
0,0,#N/A
0.004,-0.001,#N/A
0.007,-0.01,#N/A
0.01,-0.034,#N/A
0.014,-0.077,#N/A
0.017,-0.134,#N/A
0.02,-0.194,#N/A
0.024,-0.242,#N/A
0.027,-0.271,#N/A
0.03,-0.281,#N/A
0.034,-0.274,#N/A
0.037,-0.259,#N/A
0.04,-0.239,#N/A
0.044,-0.22,#N/A
0.047,-0.202,#N/A
0.05,-0.187,#N/A
0.054,-0.175,#N/A
0.057,-0.167,#N/A
0.06,-0.16,#N/A
0.064,-0.155,#N/A
0.067,-0.151,#N/A
0.07,-0.146,#N/A
0.074,-0.14,#N/A
0.077,-0.133,#N/A
0.08,-0.126,#N/A
0.084,-0.12,#N/A
0.087,-0.115,#N/A
0.09,-0.113,#N/A
0.094,-0.113,#N/A
0.097,-0.114,#N/A
0.1,-0.116,#N/A
0.104,-0.118,#N/A
0.107,-0.118,#N/A
0.11,-0.118,#N/A
0.114,-0.119,#N/A
0.117,-0.121,#N/A
0.12,-0.123,#N/A
0.124,-0.127,#N/A
0.127,-0.13,#N/A
0.13,-0.132,#N/A
0.134,-0.133,#N/A
0.137,-0.134,#N/A
0.14,-0.134,#N/A
0.144,-0.134,#N/A
0.147,-0.134,#N/A
0.15,-0.134,#N/A
0.154,-0.135,#N/A
0.157,-0.137,#N/A
0.16,-0.14,#N/A
0.164,-0.142,#N/A
0.167,-0.144,#N/A
0.17,-0.145,#N/A
0.174,-0.146,#N/A
0.177,-0.146,#N/A
0.18,-0.149,#N/A
0.184,-0.152,#N/A
0.187,-0.155,#N/A
0.19,-0.157,#N/A
0.194,-0.158,#N/A
0.197,-0.157,#N/A
0.2,-0.156,#N/A
0.204,-0.155,#N/A
0.207,-0.156,#N/A
0.21,-0.159,#N/A
0.214,-0.162,#N/A
0.217,-0.164,#N/A
0.22,-0.167,#N/A
0.224,-0.17,#N/A
0.227,-0.172,#N/A
0.23,-0.174,#N/A
0.234,-0.174,#N/A
0.237,-0.175,#N/A
0.24,-0.177,#N/A
0.244,-0.18,#N/A
0.247,-0.184,#N/A
0.25,-0.187,#N/A
0.254,-0.189,#N/A
0.257,-0.189,#N/A
0.26,-0.188,#N/A
0.264,-0.187,#N/A
0.267,-0.186,#N/A
0.27,-0.187,#N/A
0.274,-0.188,#N/A
0.277,-0.188,#N/A
0.28,-0.187,#N/A
0.284,-0.183,#N/A
0.287,-0.179,#N/A
0.29,-0.175,#N/A
0.294,-0.172,#N/A
